### params -i65534 -p40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       ././bin/lpdxeon2680/lf-qu_ms    ./bin/lpdxeon2680/lb-qu_ms      ./bin/lpdxeon2680/lb-qu_ms_hybrid
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       49835753    100.00  1           36609227    100.00  1           46975057    100.00  1           
2       15521841    15.57   0.31        9090276     12.42   0.25        21161128    22.52   0.45        
4       8730414     4.38    0.18        4289718     2.93    0.12        7484512     3.98    0.16        
6       6466436     2.16    0.13        4252386     1.94    0.12        5368161     1.90    0.11        
8       5695339     1.43    0.11        4661470     1.59    0.13        5046602     1.34    0.11        
10      5374942     1.08    0.11        4324159     1.18    0.12        4991444     1.06    0.11        
12      5034253     0.84    0.10        4236049     0.96    0.12        4954254     0.88    0.11        
14      4724572     0.68    0.09        4288476     0.84    0.12        4642909     0.71    0.10        
16      4619784     0.58    0.09        4238856     0.72    0.12        4542324     0.60    0.10        
18      4621025     0.52    0.09        4155468     0.63    0.11        4370350     0.52    0.09        
20      4393277     0.44    0.09        4211358     0.58    0.12        4261474     0.45    0.09        
22      4436978     0.40    0.09        4159964     0.52    0.11        4109446     0.40    0.09        
24      4246016     0.36    0.09        4184246     0.48    0.11        4186597     0.37    0.09        
26      4194301     0.32    0.08        4200409     0.44    0.11        4066996     0.33    0.09        
28      4117668     0.30    0.08        4161203     0.41    0.11        3943178     0.30    0.08        
30      3937060     0.26    0.08        4248870     0.39    0.12        3995860     0.28    0.09        
32      3894690     0.24    0.08        4192416     0.36    0.11        3800920     0.25    0.08        
34      3801814     0.22    0.08        4292891     0.34    0.12        3816507     0.24    0.08        
36      3723290     0.21    0.07        4295264     0.33    0.12        3703788     0.22    0.08        
38      3692882     0.20    0.07        4305244     0.31    0.12        3859537     0.22    0.08        
40      3561106     0.18    0.07        4374074     0.30    0.12        3734210     0.20    0.08        
44      3576686     0.16    0.07        49248       0.00    0.00        73559       0.00    0.00        
48      3570202     0.15    0.07        37474       0.00    0.00        81408       0.00    0.00        
52      3594645     0.14    0.07        42454       0.00    0.00        102265      0.00    0.00        
56      3659948     0.13    0.07        37074       0.00    0.00        95257       0.00    0.00        
60      3695748     0.12    0.07        4963        0.00    0.00        70731       0.00    0.00        
