### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       gondolinlf-ht_harris_0 gondolinlb-ht_java_0 gondolinlb-ht_optik0_0 gondolinlb-ht_optik1_0 gondolinlb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       5146968      12453513     4694894      7836730      6538706      
2       9150578      14914560     8249131      13283565     10973139     
3       13334647     20525180     12067193     19579422     16093966     
4       17670725     26251518     15985944     25801535     21548592     
5       21679588     28914758     19646488     31441130     26541095     
6       25430184     32654734     23114268     36734203     31107742     
7       29186466     35043464     26475636     42206192     35805450     
8       32861100     37818281     29472793     47015954     40468954     
10      23089866     1535773      18621070     23394445     21887112     
12      17242269     1035935      12658726     14709364     10933073     
