### params -i65536 -r131072 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-ht_harris_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       21978846     35278837     22866956     31085465     24112921     
2       41430694     53897899     37670487     34639628     26398355     
4       51453321     55219473     53807217     71447200     52757601     
6       78273576     78980566     75680868     98434352     74293553     
8       102174157    98780228     96950630     131840238    103509969    
10      120630193    120622844    120504754    164079599    122659426    
12      141887885    136653994    140741137    189585196    144842708    
14      164827383    152901140    163144185    213343241    163504985    
16      184959663    165668762    180331650    239753378    185955551    
18      204573566    179299017    195612314    258636316    207073429    
20      216042778    188019769    214740404    285053416    219982506    
22      242592824    205106527    233047637    299639054    239413886    
24      246013494    211866742    245872431    318612540    250118667    
26      258589316    220016294    254088702    323474238    260802618    
28      266496240    228122570    263964796    331854361    267289183    
30      274067095    232906448    272748363    345926683    278724089    
32      280729078    241371488    282168348    352275105    285543557    
34      289808932    248038012    290301934    360780128    292059839    
36      296055498    250600944    300038686    370166288    303042880    
38      304230952    255123124    306235926    379373566    308947078    
40      310933126    263556884    314058785    382632264    316135757    
44      277441859    108727471    274788890    331695723    162035039    
48      276488146    103648494    258719416    308813842    101022252    
52      266457484    88183666     246254594    294890364    65491028     
56      259585372    79190736     229538326    247691406    46417491     
60      249976130    69178269     200234096    233186064    34261844     
