### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       gondolinlf-ht_harris_2 gondolinlb-ht_java_2 gondolinlb-ht_optik0_2 gondolinlb-ht_optik1_2 gondolinlb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       5978475      12061314     5789574      8153258      7179738      
2       9382223      13232150     9038844      11890625     10777017     
3       13440536     17064920     12900998     16271632     15168028     
4       16752760     19074476     16248684     19429382     18678323     
5       20271986     21425582     18856737     22631195     21904914     
6       23286227     21826216     21584198     26981316     24962024     
7       26075987     22506661     23591236     27304488     27386804     
8       27316276     22344408     25044264     28633334     28927861     
10      21546578     1598771      2469651      2490128      2896874      
12      20595076     1301651      1766006      1789198      1933080      
