### params -i65534 -p50 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-st_treiber lpdxeon2680lb-st_lock 
#cores  throughput   throughput   
1       47288046     33312759     
2       18661618     4440386      
4       9710502      3520933      
6       7035918      3801596      
8       5769631      3868221      
10      5019784      3884399      
12      4767169      3690521      
14      4515361      3630991      
16      4280317      3543935      
18      4287418      3467884      
20      4199156      3383719      
22      4126992      3367707      
24      4028189      3292925      
26      3879699      3352437      
28      3955622      3395444      
30      3836370      3276039      
32      3824614      3387018      
34      3820538      3411404      
36      3721120      3437060      
38      3530750      3428846      
40      3703222      3487165      
44      3691600      32450        
48      3445936      28887        
52      3603076      30469        
56      3620444      35571        
60      3672053      21335        
