### params -i65534 -p50 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ././bin/gondolin/lf-qu_ms       ./bin/gondolin/lb-qu_ms         ./bin/gondolin/lb-qu_ms_hybrid  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       13794851    100.00  1           12460632    100.00  1           13135532    100.00  1           
2       7935120     28.76   0.58        4450461     17.86   0.36        6230048     23.71   0.47        
3       5591794     13.51   0.41        3901986     10.44   0.31        4429692     11.24   0.34        
4       4375056     7.93    0.32        3890032     7.80    0.31        3876300     7.38    0.30        
5       3783623     5.49    0.27        4110472     6.60    0.33        3796073     5.78    0.29        
6       3500421     4.23    0.25        3758990     5.03    0.30        3578058     4.54    0.27        
7       3279593     3.40    0.24        3783572     4.34    0.30        3578741     3.89    0.27        
8       3221832     2.92    0.23        3781440     3.79    0.30        3572612     3.40    0.27        
10      3048118     2.21    0.22        3858        0.00    0.00        14818       0.01    0.00        
12      2873386     1.74    0.21        26222       0.02    0.00        11610       0.01    0.00        
