### params -i1024 -r2048 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-sl_fraser_0 lpdxeon2680lb-sl_herlihy_0 lpdxeon2680lb-sl_optik1_0 
#cores  throughput   throughput   throughput   
1       6600280      7125298      7183754      
2       8370678      10945903     9073187      
4       15767637     17449642     17385900     
6       20977163     21875442     22932232     
8       24070440     27249456     26374397     
10      28171364     32433730     30659600     
12      33349654     34855692     34420103     
14      36096488     38731585     39213924     
16      37951154     42295775     41378667     
18      42429900     44947572     46082880     
20      46082616     49373876     49999752     
22      47982966     51396688     51917916     
24      49763161     54905524     54952958     
26      52374142     57245094     57053221     
28      53659998     59091708     59844751     
30      55765910     61085050     61296125     
32      57597558     63370222     62576383     
34      59259153     65371009     65276144     
36      60073428     66413239     66614522     
38      61028236     68388192     68752960     
40      63090532     69974354     70670016     
44      59643165     44778720     49817258     
48      57867749     34893028     42495960     
52      56969440     28261483     35470657     
56      55848598     20854762     30345693     
60      54964993     18492992     26915390     
