### params -i1024 -r2048 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelf-sl_fraser_0 lpd48corelb-sl_herlihy_0 lpd48corelb-sl_optik1_0 
#cores  throughput   throughput   throughput   
1       5039219      5725715      5761528      
2       5811655      7105663      7175811      
4       9224838      10349160     10537959     
6       11875950     12773851     13068333     
8       13718513     14688326     15203164     
10      15313952     16573637     16928553     
12      16368762     17229266     18049602     
14      17926470     17932366     19122050     
16      18128593     18767827     19670850     
18      16784149     14976119     20555734     
20      19088491     19708016     21255219     
22      19679704     20123937     21856716     
24      19737650     20255512     21726001     
26      19695963     20226612     22340026     
28      19963179     20539507     22060950     
30      20016723     20613133     22518717     
32      19754108     19937906     22612204     
34      20101944     20270480     22115815     
36      19563317     20210551     21946253     
38      19528403     17988595     20070852     
40      18310389     15626534     17942829     
42      17965164     13446269     16826518     
44      18196787     13420820     15757483     
46      17893626     10752568     14147001     
48      17615489     10182653     12803417     
52      17693949     7793731      12382465     
56      17245824     6620077      11382300     
60      17678461     5380162      9942645      
64      16469658     4885142      9775210      
