### params -i1024 -r2048 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-sl_fraser_2 lpdxeon2680lb-sl_herlihy_2 lpdxeon2680lb-sl_optik1_2 
#cores  throughput   throughput   throughput   
1       7110066      7575228      7652121      
2       8352076      13287363     13545024     
4       14340462     15145607     15575722     
6       17888642     18529378     19787226     
8       20734710     21046723     22416485     
10      22608918     22618308     24359471     
12      24638489     22131330     27492373     
14      26174733     21538268     27732677     
16      27849144     20464456     29752143     
18      28833853     17767413     31326233     
20      29962942     15092478     32652828     
22      30837854     13738144     33816566     
24      31585635     12129008     34896366     
26      32267781     11076458     36217656     
28      33073385     10286345     37073440     
30      33552738     9590895      38207012     
32      34393166     8928518      39336018     
34      35054100     8401277      39861626     
36      35532070     7949341      41343341     
38      36210105     7648217      42268859     
40      36865093     7235995      43029486     
44      36444866     5650684      32555227     
48      35975948     4660846      26196879     
52      36089349     3942676      22532150     
56      36074637     3304070      18802670     
60      36038468     2791844      17074460     
