### params -i65536 -r131072 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-sl_fraser_0 lpdxeon2680lb-sl_herlihy_0 lpdxeon2680lb-sl_optik1_0 
#cores  throughput   throughput   throughput   
1       2895097      3003186      3080146      
2       4717366      4954889      6000837      
4       9378122      9832294      10097930     
6       13810176     14245464     14697317     
8       18203642     18523134     19081864     
10      21505621     22904156     23784338     
12      25394946     26954031     27747856     
14      29371714     30661328     31193744     
16      32929679     34833147     35439732     
18      35743408     35858570     38864569     
20      40174009     40966680     40176066     
22      40636314     43089434     44680016     
24      44094274     47026353     47721650     
26      46157174     46016516     49316944     
28      47129776     48675122     49859575     
30      47164550     50092993     49082390     
32      46745812     49509386     50192359     
34      49526956     51433888     51390772     
36      49651526     51876638     52456702     
38      50631023     54490268     55686603     
40      51236412     54483002     56203330     
44      45528626     42657230     50815026     
48      43534054     38166398     47709205     
52      42724942     34481353     45883824     
56      41773100     33805271     44604564     
60      40429414     32671600     43660956     
