### params -i65536 -r131072 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-sl_fraser_2 lpdxeon2680lb-sl_herlihy_2 lpdxeon2680lb-sl_optik1_2 
#cores  throughput   throughput   throughput   
1       3857866      4062515      4048096      
2       7253946      7662339      7746008      
4       11078038     11868458     11968533     
6       15898214     16816478     16988312     
8       20263510     21367349     21402895     
10      24637378     25479949     25961346     
12      27774939     28917928     29794511     
14      31321549     32505282     33600826     
16      33923684     35163998     36222962     
18      36718470     37315324     39514261     
20      38764762     38249731     42231338     
22      41515622     38224440     44307562     
24      42540682     37220888     46537764     
26      44960900     35278283     48258579     
28      44124179     32708087     50111380     
30      45746760     29129155     52116729     
32      48047526     26508436     52597510     
34      50506294     23699439     55224838     
36      52367124     21790007     57095576     
38      52658693     19640577     56259221     
40      54966644     18272269     55510644     
44      46163882     15097134     44015221     
48      45856485     13082073     38644992     
52      45017716     10910809     34184849     
56      44901547     9566582      31539037     
60      44818004     8078943      30207716     
