###,params,-i512,-r1024,-u40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelf-ht_harris_2,lpd48corelb-ht_java_2,lpd48corelb-ht_optik0_2,lpd48corelb-ht_optik1_2,lpd48corelb-ht_pugh_2,
#cores,throughput,throughput,throughput,throughput,throughput,
1,18313684,21705691,18873222,20187922,19169815,
2,16654672,14270137,16048984,16561953,15940211,
4,19159077,16959025,19985556,19950136,19945586,
6,23784142,20672172,24392621,24275617,25232854,
8,27800259,23578265,28822557,28489306,29643811,
10,31178286,26685545,32870906,32513074,32936044,
12,34888151,29553184,36611046,36617165,34769453,
14,37532066,31614213,39571038,39932260,36839910,
16,40137410,30249818,42848885,42890466,36157054,
18,43233626,24939310,44234298,44538129,32005359,
20,45165465,15197000,46563600,47289921,25465354,
22,46456763,12692694,48305100,49793674,20561707,
24,46819770,10733530,49339693,49858744,17397312,
26,46125532,9743902,49609773,50410320,15724919,
28,44090754,8695576,50064055,51013271,14123959,
30,40761714,7986778,50072598,51022781,13118089,
32,37945787,7807540,49818347,50791194,12240062,
34,36344994,6869920,49799082,51518549,11585851,
36,34612242,6252599,49314899,50331440,10796045,
38,34399227,6236328,44667972,44974219,10263662,
40,34946631,5849293,39256336,43110497,9634566,
42,35041307,5546339,35561461,40125903,9004908,
44,35085194,5093368,33343511,38733350,8873516,
46,35533911,5096084,30722937,36804308,8376211,
48,35284086,4734503,28899878,33906151,8119559,
52,35220441,4343275,25164520,30658131,7442802,
56,34968275,4042298,23147760,30106699,7147197,
60,34699735,4039268,21421205,25195918,6500566,
64,35142605,3648471,20281711,23891379,6342015,
