### params -i8192 -r16384 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_coupling_2 lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       16396        12002        17411        17979        18459        15443        
2       31877        3817         31034        30208        32736        31402        
4       56041        6668         55298        45929        56796        55211        
6       75564        9060         74206        51722        76396        75678        
8       93849        11923        92065        53118        94840        94344        
10      112318       14644        110234       53358        112432       110679       
12      128988       16063        129016       54043        129440       129746       
14      147724       19315        142216       55120        143068       145820       
16      161508       20942        158596       54909        159222       161812       
18      178975       22329        175957       55351        175612       176280       
20      193416       25854        190635       54941        193238       191547       
22      206641       24925        198537       55582        204003       206477       
24      216973       26160        220773       55444        214470       219072       
26      236246       27679        225919       55554        234358       234084       
28      242263       28882        240804       56482        243225       248831       
30      257136       30389        252196       57250        254030       259255       
32      270117       31734        264127       56229        267014       269895       
34      285752       33402        281291       56174        278246       287569       
36      295556       35209        289808       57185        289958       299438       
38      307876       36626        300233       57062        304871       310345       
40      321744       37729        316230       57748        314816       319438       
44      326749       1280         313218       57222        311150       324275       
48      318618       877          311730       57033        309758       320149       
52      316672       610          303815       57571        306322       311300       
56      311813       574          302612       57226        306771       308582       
60      312910       471          301609       57676        291168       309172       
