### params -i8192 -r16384 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelf-ht_harris_2 lpd48corelb-ht_java_2 lpd48corelb-ht_optik0_2 lpd48corelb-ht_optik1_2 lpd48corelb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       13642542     20375175     13319996     16683845     14729665     
2       12989680     15268366     12734926     13898305     15481135     
4       18577611     16181683     18880990     19372137     19061065     
6       22522654     21794152     24748903     24332029     25162021     
8       27103247     24086876     28681793     29326902     29879539     
10      31456137     27811978     33447228     33902935     33553793     
12      36366552     30931246     37858362     38465880     37985231     
14      39099561     34407391     41987558     42736818     41834182     
16      43035163     37202205     45941696     46375352     45600429     
18      46762070     40307095     49508216     50914778     49011458     
20      49026909     42056252     53323857     54000180     51265476     
22      52671336     39896316     56370428     58008492     52083578     
24      56042848     25578573     60143579     60267666     48522400     
26      59783422     16793150     62845431     65785251     37127815     
28      61111669     15006162     66426546     66439476     27170339     
30      64172284     13515165     68426621     68547869     22591722     
32      65552415     12502955     70265270     70648743     20475929     
34      67846056     11569477     71777231     71246022     18656252     
36      67568903     10612561     73724082     71986278     17075434     
38      66845795     10210469     65852199     64986110     16170827     
40      66511303     9311681      62186061     61087572     14802463     
42      66178264     8687243      58808032     63993670     14350068     
44      66583859     8012337      55467103     58878393     13564289     
46      66982334     7959934      52444603     55504106     13167195     
48      66330845     7335739      48977931     53685853     12499691     
52      66323745     6952009      43665490     48318896     11784156     
56      66037150     6502149      42631249     44859535     10876059     
60      65495527     5793916      36605978     42685116     10290011     
64      65798418     5824158      33814699     37596574     9806042      
