###,params,-i64,-r128,-u40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelb-ll_lazy_0,lpd48corelb-ll_coupling_0,lpd48corelf-ll_harris_opt_0,lpd48corelb-ll_optik_gl_0,lpd48corelb-ll_optik_0,lpd48corelb-ll_pugh_0,
#cores,throughput,throughput,throughput,throughput,throughput,throughput,
1,10408647,2384597,8340080,10494358,9401538,10562734,
2,9707622,463523,9236261,7569072,9580472,10550240,
4,11046290,689373,11337300,6965329,11443756,10963684,
6,10875424,800846,12019482,6507864,11677604,11733178,
8,10724022,677424,11978855,5983525,11367128,11231330,
10,10579377,373972,11819811,5514072,11277509,10843898,
12,10341124,296115,11925527,4871830,11379705,10838636,
14,10326559,243824,11570243,4168548,11318854,10818489,
16,10047216,212208,11423164,3352251,11152186,10575593,
18,10022410,184983,11460959,2731491,10991601,10238256,
20,9896074,163758,11371314,2260434,10959059,10199570,
22,9811740,148716,11173816,1869798,10852705,9873693,
24,9645681,132388,10919897,1682822,10798778,9852542,
26,9577376,123316,10882726,1435104,10614791,9815306,
28,9374427,116898,10712497,1243098,10553858,9697409,
30,9344947,103551,10584477,1225734,10364736,9678639,
32,9242919,100893,10464015,1113346,10284078,9459787,
34,9027334,91159,10385440,1025209,10238217,9337980,
36,8839627,86537,10208892,1007295,10058299,9275039,
38,8240390,71165,10172904,968461,9443115,8763793,
40,7653628,63792,10182793,955023,8969406,7963379,
42,7097072,55302,10196231,967286,8570336,7158607,
44,5906017,48393,10349074,956250,7960240,6460220,
46,5523083,45933,10230272,947966,8111186,5547342,
48,4719528,39857,10125733,953769,7514567,4808736,
52,3502472,32676,10081126,946207,7427011,3778772,
56,2897635,28721,10310372,965155,7247674,3199473,
60,2036441,26034,10451265,964392,7271049,2517659,
64,1785833,20273,10455666,1010613,7279418,2111120,
