### params -i16384 -r32768 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-sl_fraser_0 lpdxeon2680lb-sl_herlihy_0 lpdxeon2680lb-sl_optik1_0 
#cores  throughput   throughput   throughput   
1       3628778      3700490      3846248      
2       5608528      5902808      7220578      
4       10870988     11586169     11574969     
6       15423260     16569186     16158520     
8       20306630     20420960     21261312     
10      23812906     23922839     25160176     
12      27000304     28563069     28006811     
14      30624569     31317098     32180962     
16      33706705     34116919     34952522     
18      35324289     39607443     39318612     
20      39520056     42652683     41155982     
22      41242220     42910301     45014558     
24      44469786     46332806     46662757     
26      44313801     47958526     47571868     
28      46744227     50243557     49970735     
30      50590169     51487956     51690590     
32      48834000     52471434     54060668     
34      50109482     55270999     55960695     
36      52547014     56148742     55229167     
38      52715852     58262912     56966543     
40      53721891     59650358     58830834     
44      52172593     43020550     50904732     
48      50216926     36993464     47076546     
52      48235163     32372828     42846168     
56      47243024     29971948     38928174     
60      46707186     25704120     39152964     
