### params -i8192 -r16384 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-ht_harris_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       20053622     31155703     20938381     24929124     22889390     
2       22398324     21252714     33262072     42686692     21499797     
4       43383049     41586468     43666444     49760614     42387258     
6       59920586     60946452     61583642     67118626     61583431     
8       78746998     75980991     83168726     86522107     78136864     
10      95004137     86178278     97287055     103288185    95146621     
12      110762723    97078523     116088388    122676218    103536707    
14      127866506    106496111    130294195    133953345    111711964    
16      139979119    99653184     140089270    150627700    110450697    
18      151457094    89600294     153338216    161625878    98329848     
20      158559518    72021370     165311300    178130002    79423226     
22      171421322    58777997     176419911    184042481    62248261     
24      176652826    46765652     185651745    191832944    54472063     
26      181738990    44075244     191398609    197591901    51561558     
28      188127878    41332128     197811463    203867695    48446270     
30      191562304    39861465     205484751    211687798    46828827     
32      197474932    38461077     209772282    216972364    45670406     
34      203123912    36030528     218499079    224958426    44421106     
36      207523209    36478818     224191960    230413622    43276300     
38      211707296    34727942     230256627    236189729    42612906     
40      215616159    33211605     236995129    243769244    41392014     
44      203485554    24109611     183588118    194903778    34349332     
48      198925334    21040288     151912882    171394430    30801039     
52      197780768    17355214     137196486    161779803    27742535     
56      196829344    16465177     120657670    140234778    25453928     
60      195718693    14765959     103139624    114072175    23059109     
