### params -i65534 -p60 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelf-st_treiber lpd48corelb-st_lock 
#cores  throughput   throughput   
1       27608930     23946472     
2       11500764     1569777      
4       4428699      1523898      
6       2502056      1462342      
8       1814346      1471343      
10      1455955      1473040      
12      1226916      1427409      
14      1070448      1376280      
16      833061       1458968      
18      701718       1475669      
20      592855       1454227      
22      520664       1468167      
24      448515       1408577      
26      387378       1417786      
28      367062       1377732      
30      324708       1409830      
32      287104       1367543      
34      274948       1381642      
36      270911       1361250      
38      248956       7056         
40      246226       5900         
42      263481       6571         
44      255899       6003         
46      252693       7735         
48      252649       5297         
52      262300       9591         
56      262649       5172         
60      253931       8242         
64      261574       5173         
