### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       gondolinlf-ht_harris_0 gondolinlb-ht_java_0 gondolinlb-ht_optik0_0 gondolinlb-ht_optik1_0 gondolinlb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       13257604     21127953     11737028     15937638     14248526     
2       18227630     21088196     15325878     19132398     17503442     
3       23197104     23183094     21204733     26276180     22962138     
4       28938285     28247846     26081944     33144066     28605338     
5       33216764     33256984     31234896     36930766     34164183     
6       37847738     33416218     35531079     41409934     37835303     
7       41549834     36286617     39156164     46013963     41351784     
8       45469202     38338038     42926450     49910294     45124900     
10      28393774     1876629      8619712      8339601      8343226      
12      16071338     1150910      5346246      5430894      5444776      
