### params -i8192 -r16384 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_coupling_0 lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       29627        21318        30589        28627        29022        31072        
2       57849        6923         51991        54606        53486        57147        
4       103808       13376        98071        76100        102346       102779       
6       137824       17309        129863       76293        133929       136209       
8       165057       21860        156088       73531        165050       167279       
10      198886       27055        179645       70814        185434       193610       
12      219592       28050        209319       69563        208704       215922       
14      243188       33488        230246       67460        232987       245063       
16      269273       39250        251560       66204        261988       270428       
18      297883       41216        279387       64605        277691       299606       
20      323148       45278        307461       64163        309666       323381       
22      339529       47513        318590       63188        320073       337048       
24      356892       49108        346438       61498        346439       357912       
26      372268       51962        360008       61504        360156       385164       
28      408364       54228        380821       60231        376894       392625       
30      427460       57276        391103       59002        401705       400989       
32      435132       60188        399082       57292        394771       425563       
34      455379       62905        410532       56784        424402       435729       
36      441203       65414        440158       56152        428681       445490       
38      452582       69533        439317       55722        434940       459075       
40      472756       54036        462079       55759        457634       473403       
44      455357       1994         436298       52432        431591       455336       
48      439064       1480         440380       51353        430568       441006       
52      438800       683          429714       51583        422741       446934       
56      452790       861          420788       51324        405406       428731       
60      422355       684          410762       50975        411622       421162       
