### params -i16384 -r32768 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelf-sl_fraser_2 lpd48corelb-sl_herlihy_2 lpd48corelb-sl_optik1_2 
#cores  throughput   throughput   throughput   
1       3366422      3683391      3641787      
2       4477998      5573544      4967405      
4       7053810      8579946      7944686      
6       9395724      11298425     11336992     
8       11524572     12972918     12826307     
10      12107847     13652088     12984130     
12      12750646     15372169     14408597     
14      14378285     16038470     15364636     
16      14691212     15854051     16015429     
18      15081579     15656875     16438731     
20      14982630     14714739     16526986     
22      15127698     13593162     16657729     
24      15009337     12274769     16722019     
26      15057149     11106479     16555255     
28      15111857     10046467     16369620     
30      14856863     8952481      16308504     
32      14788483     8259869      16192046     
34      14595792     7498182      16193712     
36      14501424     6837946      15859121     
38      14428716     5965931      14315467     
40      13989536     5072173      13706861     
42      14004794     4653180      12398618     
44      13941922     4273421      11797088     
46      13919237     3866575      11001055     
48      13895312     3307225      10763118     
52      14035854     2865783      9689343      
56      14048572     2341132      8862007      
60      13807102     2248054      8400027      
64      13789067     1838851      7745995      
