### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       gondolinlf-ht_harris_2 gondolinlb-ht_java_2 gondolinlb-ht_optik0_2 gondolinlb-ht_optik1_2 gondolinlb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       11136105     16243916     10478382     12823842     11851012     
2       14006662     15589210     13474776     15166490     14744524     
3       18404056     19602274     17748534     20018841     20222508     
4       22663809     21839286     21717184     24253261     23527215     
5       26742050     24554776     25337105     26740380     27108670     
6       29435618     25105890     28067296     30571905     29917037     
7       33213164     28172129     30407045     33360135     32412614     
8       35980876     28872266     32295254     35731178     34369321     
10      25566980     1757534      2311668      2386113      2068444      
12      23235850     1285739      1368180      1368801      1439103      
