### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       gondolinlf-sl_fraser_2 gondolinlb-sl_herlihy_2 gondolinlf-sl_herlihy_2 gondolinlb-sl_optik1_2 
#cores  throughput   throughput   throughput   throughput   
1       4448959      4950736      4361964      5241526      
2       5800772      7040192      6405154      7212571      
3       7861123      9448475      8699912      9378138      
4       9400336      10806978     10549348     11710676     
5       10841356     12327612     12353148     12721485     
6       11799635     13072844     13374736     13781558     
7       12605164     13770337     14562189     14748928     
8       13219551     13808514     15470149     15424886     
10      9016580      689349       10075556     10170455     
12      8489296      278816       9959626      9893855      
