### params -i1024 -r2048 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_coupling_0 lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       500519       233368       426583       501592       478051       494298       
2       457944       62514        288720       302373       252290       274907       
4       1102466      101736       933566       789029       1002206      1095186      
6       1491631      132722       1483612      745121       1423555      1631670      
8       1886034      155090       1645444      739562       1898961      1791923      
10      2216460      177201       1973753      722435       2164308      2095002      
12      2356313      191883       2223788      702606       2266996      2393076      
14      2647613      222974       2583156      698330       2659561      2702546      
16      2988247      258414       2918910      691630       2920448      2933750      
18      3156888      278965       3154175      688216       3132155      3155590      
20      3635451      311061       3320698      688222       3510042      3531970      
22      3826738      349149       3479792      683305       3640436      3782003      
24      4005436      369674       3656258      690398       3744006      3972512      
26      4025547      387594       3836242      685598       3849958      3886082      
28      4156850      412381       4058084      675319       3843831      4093944      
30      4136443      431927       4110944      662897       3945208      4138056      
32      4100625      455783       4250382      642422       4134728      4043278      
34      4159350      474773       4148244      615868       4001235      4220211      
36      3993716      500365       4145596      569961       3905375      4063931      
38      4067058      520735       4388672      524133       4037102      4023743      
40      4214619      541207       4254341      478549       4097478      4077600      
44      4014502      13676        4249218      431974       4035767      4043932      
48      3859660      8965         4107287      435734       3941243      3916319      
52      3622716      6483         4002502      425895       3793466      3667083      
56      3626648      4580         3961882      420579       3672237      3597036      
60      3380753      5632         3945681      401967       3722782      3319837      
