### params -i65534 -p50 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       ././bin/lpdxeon2680/lf-qu_ms    ./bin/lpdxeon2680/lb-qu_ms      ./bin/lpdxeon2680/lb-qu_ms_hybrid
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       46113390    100.00  1           33772923    100.00  1           40668260    100.00  1           
2       13003207    14.10   0.28        4390051     6.50    0.13        12676354    15.59   0.31        
4       7666775     4.16    0.17        4735678     3.51    0.14        5837693     3.59    0.14        
6       6007768     2.17    0.13        4818408     2.38    0.14        5273578     2.16    0.13        
8       5404205     1.46    0.12        4855176     1.80    0.14        5262085     1.62    0.13        
10      4971967     1.08    0.11        4762608     1.41    0.14        5275587     1.30    0.13        
12      4778303     0.86    0.10        4827557     1.19    0.14        4785098     0.98    0.12        
14      4841033     0.75    0.10        4761528     1.01    0.14        4735593     0.83    0.12        
16      4670441     0.63    0.10        4812092     0.89    0.14        4871162     0.75    0.12        
18      4578470     0.55    0.10        4879577     0.80    0.14        4604693     0.63    0.11        
20      4509706     0.49    0.10        4751216     0.70    0.14        4637170     0.57    0.11        
22      4497270     0.44    0.10        4759137     0.64    0.14        4533634     0.51    0.11        
24      4215010     0.38    0.09        4831073     0.60    0.14        4376242     0.45    0.11        
26      4180737     0.35    0.09        4738626     0.54    0.14        4412998     0.42    0.11        
28      4060405     0.31    0.09        4747108     0.50    0.14        4468545     0.39    0.11        
30      3931463     0.28    0.09        4816558     0.48    0.14        4465430     0.37    0.11        
32      3849521     0.26    0.08        4772312     0.44    0.14        4509850     0.35    0.11        
34      3739459     0.24    0.08        4778798     0.42    0.14        4347555     0.31    0.11        
36      3914110     0.24    0.08        4830146     0.40    0.14        4440728     0.30    0.11        
38      3628826     0.21    0.08        4866862     0.38    0.14        4577113     0.30    0.11        
40      3590952     0.19    0.08        4831454     0.36    0.14        4398776     0.27    0.11        
44      3467208     0.17    0.08        63794       0.00    0.00        79094       0.00    0.00        
48      3550508     0.16    0.08        48509       0.00    0.00        23212       0.00    0.00        
52      3599392     0.15    0.08        53890       0.00    0.00        56682       0.00    0.00        
56      3626818     0.14    0.08        42314       0.00    0.00        83109       0.00    0.00        
60      3689697     0.13    0.08        19655       0.00    0.00        62283       0.00    0.00        
