### params -i65534 -p40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-st_treiber lpdxeon2680lb-st_lock 
#cores  throughput   throughput   
1       48204029     32323646     
2       19157946     6147486      
4       10271884     3629785      
6       7942623      4067324      
8       6513143      3959206      
10      5672349      3960218      
12      5404354      3693480      
14      5187388      3670996      
16      5193855      3503948      
18      5110462      3517502      
20      4825726      3467230      
22      4832145      3430100      
24      4643499      3418900      
26      4787493      3474080      
28      4658841      3376724      
30      4660485      3460204      
32      4470225      3469085      
34      4636953      3477078      
36      4534153      3485031      
38      4516095      3567773      
40      4198825      3608824      
44      4470396      34120        
48      4180456      32030        
52      4258804      47174        
56      4343482      16623        
60      4344086      39160        
