###,params,-i65534,-p60,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,././bin/lpd48core/lf-qu_ms,./bin/lpd48core/lb-qu_ms,./bin/lpd48core/lb-qu_ms_hybrid,
#cores,throughput,%linear,scalability,throughput,%linear,scalability,throughput,%linear,scalability,
1,24551095,100.00,1,21495905,100.00,1,23836935,100.00,1,
2,9076095,18.48,0.37,2623447,6.10,0.12,3694887,7.75,0.16,
4,2968797,3.02,0.12,2551029,2.97,0.12,2386742,2.50,0.10,
6,2113832,1.43,0.09,2484423,1.93,0.12,2276001,1.59,0.10,
8,1808716,0.92,0.07,2476318,1.44,0.12,2172918,1.14,0.09,
10,1689372,0.69,0.07,2446939,1.14,0.11,2191195,0.92,0.09,
12,1563024,0.53,0.06,2509266,0.97,0.12,2118538,0.74,0.09,
14,1413055,0.41,0.06,2553279,0.85,0.12,2108326,0.63,0.09,
16,1248505,0.32,0.05,2566459,0.75,0.12,2135741,0.56,0.09,
18,1108996,0.25,0.05,2554582,0.66,0.12,2093614,0.49,0.09,
20,990688,0.20,0.04,2511347,0.58,0.12,2123795,0.45,0.09,
22,851419,0.16,0.03,2474531,0.52,0.12,2204561,0.42,0.09,
24,731147,0.12,0.03,2556501,0.50,0.12,2176378,0.38,0.09,
26,691245,0.11,0.03,2479928,0.44,0.12,2101724,0.34,0.09,
28,579906,0.08,0.02,2476131,0.41,0.12,2140633,0.32,0.09,
30,547371,0.07,0.02,2459614,0.38,0.11,2039876,0.29,0.09,
32,488975,0.06,0.02,2484628,0.36,0.12,2054378,0.27,0.09,
34,450813,0.05,0.02,2411183,0.33,0.11,1958237,0.24,0.08,
36,426232,0.05,0.02,2372617,0.31,0.11,1948740,0.23,0.08,
38,423469,0.05,0.02,11524,0.00,0.00,11251,0.00,0.00,
40,429677,0.04,0.02,12994,0.00,0.00,10203,0.00,0.00,
42,425347,0.04,0.02,16588,0.00,0.00,7896,0.00,0.00,
44,425827,0.04,0.02,10771,0.00,0.00,9023,0.00,0.00,
46,599589,0.05,0.02,8951,0.00,0.00,9685,0.00,0.00,
48,412222,0.03,0.02,10961,0.00,0.00,9569,0.00,0.00,
52,426549,0.03,0.02,9087,0.00,0.00,8423,0.00,0.00,
56,450953,0.03,0.02,8060,0.00,0.00,13810,0.00,0.00,
60,447898,0.03,0.02,12970,0.00,0.00,8776,0.00,0.00,
64,428879,0.03,0.02,12779,0.00,0.00,8122,0.00,0.00,
