### params -i8192 -r16384 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelb-ll_lazy_0 lpd48corelb-ll_coupling_0 lpd48corelf-ll_harris_opt_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_optik_0 lpd48corelb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       32925        18412        35341        37184        34377        33269        
2       73435        4012         69508        68168        67673        74044        
4       144221       6589         120813       107595       132702       144425       
6       212595       8860         204037       119477       174812       211645       
8       279109       11290        268403       123290       258821       280339       
10      344879       13562        332864       124815       319988       344481       
12      408537       15591        396639       125095       318175       409549       
14      472169       17956        456986       124878       436536       472582       
16      474594       19683        517548       124929       495463       530260       
18      587588       21833        569562       120902       547095       466316       
20      578580       23655        620522       111666       597937       620611       
22      667973       25425        648740       116807       614027       681977       
24      712675       27483        666596       112029       660093       711624       
26      577596       29429        715066       111941       704454       765579       
28      757476       31295        754343       89139        697461       738208       
30      630524       32161        756109       113225       694641       783183       
32      771937       32672        763168       110914       764754       820281       
34      804523       33699        776272       108776       757641       819690       
36      807147       35137        746674       111244       783693       666095       
38      792221       2279         749619       107763       726409       738794       
40      746812       1493         721035       107002       710376       773800       
42      739844       1202         693070       105871       677858       739692       
44      713219       945          652513       99039        662046       715883       
46      679099       811          625104       79768        577558       688895       
48      647780       744          618763       96500        615260       653515       
52      624931       648          592450       91297        566000       633574       
56      591917       515          550285       87600        576455       604964       
60      525949       498          513878       86285        531691       556229       
64      555509       399          509728       81218        499290       530101       
