### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       gondolinlb-ll_lazy_2 gondolinlb-ll_coupling_2 gondolinlf-ll_harris_opt_2 gondolinlb-ll_optik_gl_2 gondolinlb-ll_optik_2 gondolinlb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       15374        10644        13348        15176        14300        14425        
2       28807        3310         25620        26941        26958        27718        
3       40569        4472         38834        35072        39254        41147        
4       54340        5203         47858        43060        50259        53736        
5       61979        6156         57748        44798        57152        61352        
6       67348        7067         65547        45490        66435        68858        
7       76495        7876         72074        46154        72961        76309        
8       85280        8638         80352        47512        80473        84031        
10      82288        335          77654        46660        79612        81707        
12      81420        240          76760        46262        78312        82297        
