### params -i65534 -p60 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ././bin/gondolin/lf-qu_ms       ./bin/gondolin/lb-qu_ms         ./bin/gondolin/lb-qu_ms_hybrid  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       11875611    100.00  1           10639206    100.00  1           12036619    100.00  1           
2       6839219     28.80   0.58        4439151     20.86   0.42        4536024     18.84   0.38        
3       5157326     14.48   0.43        3350092     10.50   0.31        3565946     9.88    0.30        
4       4012505     8.45    0.34        3431356     8.06    0.32        3265266     6.78    0.27        
5       3460065     5.83    0.29        3488830     6.56    0.33        3252043     5.40    0.27        
6       3113214     4.37    0.26        3483838     5.46    0.33        3277118     4.54    0.27        
7       2949493     3.55    0.25        3489499     4.69    0.33        3252472     3.86    0.27        
8       2852819     3.00    0.24        3501012     4.11    0.33        3222800     3.35    0.27        
10      2680056     2.26    0.23        8607        0.01    0.00        9753        0.01    0.00        
12      2593688     1.82    0.22        564         0.00    0.00        20570       0.01    0.00        
