### params -i65536 -r131072 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-ht_harris_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       17447762     27803129     18358849     22705512     19436924     
2       31895359     42288930     30923025     33499965     31465345     
4       40743539     41917607     45376708     47326321     42415380     
6       60697760     61039900     62609281     69884542     60745042     
8       79771746     78781506     81241248     92802075     77602185     
10      95921580     89196495     97199021     108860862    94396201     
12      110391405    104238804    117534254    129210538    114719235    
14      127584990    116155834    133653624    142513596    124930327    
16      140057092    127244029    147264686    161176656    136373606    
18      154138420    128847462    161119744    174240741    144504566    
20      168095186    124446874    171909694    192064306    143677968    
22      175485772    115108358    186472726    203338816    131602155    
24      181516745    94379402     189139270    210299674    112777580    
26      189195138    74083963     200032729    218404027    96168250     
28      194824136    66299134     205332384    224999938    82957957     
30      200235014    60501711     209383922    231463950    75329619     
32      206568194    57173378     215949137    238101854    69770716     
34      210714788    52997002     224861693    243348766    66187662     
36      215672017    51841973     231074312    250757888    63736196     
38      220628649    47620300     234606958    258533484    62144650     
40      226652286    47782814     242002190    266881298    59979642     
44      210360822    31503054     193293642    209800706    47023171     
48      204122723    26195686     174559994    190387043    40984183     
52      203632696    22356050     158982900    174678561    37340905     
56      201186385    20454006     144846138    163547060    35565174     
60      200641530    18212377     128559478    147199952    32208406     
