### params -i64 -r128 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_coupling_0 lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       13343086     3631213      10068506     13199229     12087264     13541586     
2       21309686     503304       9845744      8951134      10607098     20484239     
4       15613598     658777       15710439     8179088      16075726     14613126     
6       15839260     776821       18220952     7001669      18022135     15093156     
8       17517881     898269       19433699     6568106      18026194     17293998     
10      18928020     933925       21514420     6289112      19040074     18130365     
12      20298746     792444       22604755     6264420      21663048     19564539     
14      21723523     674924       23627233     6243992      22741462     20480710     
16      22639899     688612       25310191     6255340      23785174     21916482     
18      24039582     483603       26287999     6459901      25473071     22862365     
20      24868051     438365       27211903     6519937      26461453     24492051     
22      26230210     416210       27699228     6430422      27970750     25512729     
24      27099301     400813       29155644     6522171      29394737     26410026     
26      27802210     392400       29967506     6573903      29794533     27269206     
28      28778288     387188       30770195     6681968      30892773     28345873     
30      29954924     375818       32020896     6571976      31915310     29678065     
32      30305207     368223       32133931     6597259      32922809     29761020     
34      31090876     362044       32796566     6631536      34005365     31162488     
36      31575681     348971       34026881     6592932      34146306     32007643     
38      32793930     336424       34920378     6690486      35362204     32454242     
40      33248333     320470       35243846     6746896      36198626     33275657     
44      24869433     122753       34548225     6400221      30684062     24998985     
48      17716063     68929        34191690     6284447      28705119     18730322     
52      12631919     56068        33918386     6152788      27592835     13049899     
56      9112594      35101        33642965     6105420      27029772     9901963      
60      7284974      32889        33335570     6057381      25761187     6950964      
