### params -i1024 -r2048 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelb-ll_lazy_2 lpd48corelb-ll_coupling_2 lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       523058       100062       392660       517787       470814       520608       
2       641890       18499        543424       578134       586606       648482       
4       1060324      29565        911399       743975       956224       1076588      
6       1477708      40956        1279024      832314       1328580      1498949      
8       1857575      49914        1633121      882319       1698688      1892655      
10      2223746      60345        1983269      922462       2047233      2283140      
12      2570122      69810        2317581      951054       2387095      2655854      
14      2911950      79740        2632056      973451       2707823      3004371      
16      3247638      89142        2949143      983539       3014482      3341900      
18      3557281      96067        3246389      998757       3325470      3671398      
20      3856980      106713       3533626      1006110      3611433      3959124      
22      4153253      116422       3803948      1021907      3884164      4249277      
24      4416225      126496       4055558      1004435      4144692      4505310      
26      4644802      134507       4286493      1025883      4375935      4739695      
28      4868459      140767       4522734      990208       4598683      4987387      
30      5049225      153350       4721661      989289       4823161      5154218      
32      5259611      156263       4926939      920644       4997836      5324814      
34      5306339      163963       5057807      894464       5140745      5530661      
36      5448714      170657       5176255      817469       5219935      5636967      
38      5306287      4741         5064396      795942       4767124      5398476      
40      5072120      2796         4963228      734768       4567736      5146297      
42      4798857      1756         4669997      741114       4372885      4846956      
44      4508491      1242         4689998      713899       4187775      4530005      
46      4196391      1054         4505784      693842       4051378      4388227      
48      4063095      1246         4284012      669622       3878096      3909764      
52      3393184      730          3907890      636642       3563985      3560889      
56      3055865      1008         3710808      594054       3367983      3032638      
60      2646196      859          3538783      593313       3186802      2669461      
64      2069051      756          3312630      559503       3059729      2345621      
