###,params,-i16384,-r32768,-u40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelf-sl_fraser_0,lpd48corelb-sl_herlihy_0,lpd48corelb-sl_optik1_0,
#cores,throughput,throughput,throughput,
1,2860971,2876993,2846561,
2,3775155,4427489,4340349,
4,6266454,7715549,7239111,
6,8387005,10403533,10146412,
8,11106477,13429085,12009947,
10,12314102,15324872,14411011,
12,13191772,17429180,16216524,
14,14239670,18984960,17821775,
16,14136153,20762541,19079102,
18,15369445,22706336,20949626,
20,15262979,23972365,21871020,
22,16469807,25252256,22991473,
24,16229949,26159970,24052847,
26,18466725,27432651,24914837,
28,17058245,28465536,25716503,
30,16344768,29653351,26498298,
32,16932046,29593188,27241851,
34,17361480,30554312,27721961,
36,17407210,31460573,27623359,
38,16374297,28124805,26058906,
40,14295462,24989816,24770305,
42,13708642,23624871,23543284,
44,13312667,22377377,23206993,
46,13249018,20630966,22585881,
48,12883679,20050586,21404716,
52,13375291,17305690,20775131,
56,13309299,15860233,19486679,
60,13186779,14184337,17652473,
64,13039239,13185887,18620523,
