### params -i8192 -r16384 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-ht_harris_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       26512314     41340372     25559029     32379086     28026044     
2       28194482     59043942     26603089     34790277     50485051     
4       54669199     55946004     52317335     67420182     54982382     
6       81732336     76036542     75315020     98631937     80745362     
8       103529072    106859939    101029784    125109668    106438042    
10      126454817    116570453    122417063    151596214    125973630    
12      149790246    138197232    147096202    178558422    152455731    
14      168520102    149155444    165329529    209772497    173839226    
16      187628156    168074202    178942237    234271168    193534796    
18      212430654    178578170    202615988    254564860    209782324    
20      238109635    188994066    211866644    270304443    233924587    
22      249289935    203831644    234090115    296577420    247224134    
24      263811112    214666351    254662038    306806544    263778526    
26      273354069    221112380    264883636    317357708    274843419    
28      282515111    227867518    272460012    327434374    285677153    
30      291883954    234649873    283475595    335453075    294260920    
32      302465114    241256911    293196278    347849702    300090576    
34      308796539    247927604    299685893    354825011    313470361    
36      317369774    251363455    311434446    363445328    322725356    
38      327253272    260997060    318587867    374391223    327532793    
40      334592747    260382335    309048912    383604732    332987492    
44      302672261    113935153    239159528    280005823    100235764    
48      292753573    108811816    201354992    236261909    64157395     
52      287618134    90559279     180614377    182770072    59771993     
56      278040328    79132955     151999290    183817676    50495013     
60      269560518    72026642     141784878    155358756    48322977     
