###,params,-i8192,-r16384,-u40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelf-ht_harris_0,lpd48corelb-ht_java_0,lpd48corelb-ht_optik0_0,lpd48corelb-ht_optik1_0,lpd48corelb-ht_pugh_0,
#cores,throughput,throughput,throughput,throughput,throughput,
1,16820639,29820879,15097996,22006807,19238112,
2,14368261,14887371,14021076,17912820,16907936,
4,21097449,20146189,20508276,23660562,21065357,
6,26849067,24546826,26825631,30983834,27307522,
8,32063816,29113013,33537599,37691979,34224558,
10,35614479,33334718,39736772,44302185,39783429,
12,42379880,37879497,44839325,50085204,44844536,
14,44040921,42451375,50704034,57203809,50282069,
16,47498716,46535482,55961706,63843847,56655282,
18,49470259,50741369,62117802,69483815,61456821,
20,50284738,54586956,67276588,72610152,66209711,
22,53847494,58467906,72743963,78809544,71407706,
24,51730333,60758313,78093528,82807125,76698913,
26,53542253,63488937,82586846,90357708,81971398,
28,53650170,65523312,86852040,92441657,86386353,
30,54726435,70568160,91354867,95571325,91556639,
32,56831364,70388458,94842921,103211663,95064729,
34,56973461,73781108,101015910,104599295,99801641,
36,57127482,71958304,103469337,96199145,104165635,
38,57208685,61835410,94533149,95896682,81617966,
40,55490165,51899659,90419259,88222772,59697599,
42,55470154,43256968,87101861,88375352,54510398,
44,56649379,36517268,83189888,83270382,50784625,
46,55083510,35649159,78294084,77292458,43127821,
48,54201481,32743913,79027276,76416497,44795516,
52,55685751,28836779,69135904,68783083,41059262,
56,54629694,28257814,67580935,64649745,38695199,
60,53859051,23041046,58894303,68459514,39356490,
64,55490697,22244973,63014542,65678784,39379800,
