### params -i512 -r1024 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-ht_harris_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       27109490     33615092     27380343     29950410     28418435     
2       40134212     21863493     22834360     23419826     21790170     
4       40312610     40046181     46720878     43975504     45422246     
6       55397051     55929992     60545272     60516772     53724416     
8       70386516     65732893     76469980     71045684     67359100     
10      79900044     72719746     91411491     81244052     70957038     
12      91995457     70805902     99817422     89980470     71971386     
14      100277782    66656026     110459451    99023822     63166890     
16      108236940    46840214     119730785    108354739    53979571     
18      113084370    36278263     129766851    114791510    43992277     
20      117987091    32825416     138532737    122032380    36276248     
22      122825992    28493040     146966853    128997609    33784890     
24      126687594    28120208     151950550    136222040    31442560     
26      130015135    25441340     158807283    143694587    29906457     
28      133676516    24857216     164437200    149597145    28924534     
30      136129684    24667002     170929122    156684330    28627056     
32      137562230    23907968     176256905    163345960    27870402     
34      141071165    23284442     181854878    171492857    27621067     
36      144141084    22609980     187399011    178407662    27511898     
38      146419364    20481790     192802096    183507768    27218007     
40      148397883    21616649     198235703    190831073    26999542     
44      143719964    17626340     137348222    144543323    21141106     
48      140394598    15251859     107585916    125669515    18659165     
52      140232024    12772593     93805441     107143667    16719956     
56      138911158    12016750     82049042     94613664     15491538     
60      139666170    10529259     77474676     83125982     14077056     
