###,params,-i65536,-r131072,-u40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelf-sl_fraser_2,lpd48corelb-sl_herlihy_2,lpd48corelb-sl_optik1_2,
#cores,throughput,throughput,throughput,
1,2579563,2848443,2954064,
2,3499964,4314964,4766093,
4,6039909,7426316,7861510,
6,8372321,10617952,10657836,
8,10487575,11848795,12515293,
10,11834080,13831688,14580709,
12,13349842,15335534,16106476,
14,14175888,16031940,17904802,
16,15462239,17198981,18858688,
18,16212700,17565145,19756765,
20,16241596,17299519,19688019,
22,16514011,16464680,20668183,
24,16970795,15270101,20738276,
26,16589010,14046387,20791362,
28,16928283,12331859,20853472,
30,16453918,10936085,20413099,
32,16561402,9686279,20466456,
34,16517843,8584432,20568473,
36,16433874,7701474,20158245,
38,15689187,6858933,18641407,
40,14743905,6176750,17591522,
42,15292075,5741097,16204534,
44,14795832,4828215,15306777,
46,14826898,4564103,14195443,
48,15237419,4280106,13600438,
52,14915210,3625597,12564079,
56,14739398,3297143,9775565,
60,14620705,2775447,10744344,
64,14595793,2448566,10067804,
