### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       gondolinlf-sl_fraser_0 gondolinlb-sl_herlihy_0 gondolinlf-sl_herlihy_0 gondolinlb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   
1       4330801      4775017      4229627      5107858      
2       6003852      7309425      6326120      7010566      
3       8230888      9636752      8594113      9638757      
4       10277462     11686648     10540608     11738906     
5       11644290     13297902     13150195     13877517     
6       12919195     14494108     14371563     14872248     
7       14209913     15768100     15471038     16004004     
8       14986419     16786904     16494462     16510292     
10      9166530      622826       10871722     10756096     
12      8397753      346131       9835328      10393170     
