### params -i65536 -r131072 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelf-ht_harris_0 lpd48corelb-ht_java_0 lpd48corelb-ht_optik0_0 lpd48corelb-ht_optik1_0 lpd48corelb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       5837605      21542106     4786202      11803696     9244363      
2       8646801      13906682     7588109      13907928     11507207     
4       15885118     18606478     14479249     23691863     18747436     
6       23231594     24433548     20702701     35862380     27176382     
8       30368868     29889390     26498822     44544766     34721430     
10      36244379     33666113     32280465     50829672     40503968     
12      40944272     38399522     38432823     55893306     47027636     
14      45112746     42463477     44138543     66354574     53056683     
16      50146553     48436100     49599604     72890849     59703643     
18      51908020     50660454     54625171     77487942     64501879     
20      53802324     54218650     58916908     84240666     69515879     
22      58894833     59090655     64816955     88881533     76187577     
24      60239070     60985572     69432085     95797467     82006780     
26      61921681     63937615     74844505     100302910    86279178     
28      62107258     68384770     78049816     104465957    91649123     
30      60973072     68929024     82207473     108205648    96256755     
32      61206658     71806749     87099572     115464882    101660833    
34      62465570     64793898     92032981     115792425    106569247    
36      63062769     65595788     97843061     113723485    108801065    
38      61570527     57485841     93228470     113274454    99906979     
40      61414589     46642735     90113642     111099458    88946728     
42      60251051     45410217     87736551     113058811    78686034     
44      60477141     37915538     88063028     108882695    67058658     
46      58888777     35630968     87944487     109253104    60947055     
48      60162498     32482785     86219409     108106108    51052806     
52      58582549     24417422     85351217     106774617    41907739     
56      58780943     25105570     80585093     95820704     32443350     
60      58408832     23334714     81625681     99740137     26600353     
64      58250679     19680247     79757135     99791592     22645025     
