### params -i512 -r1024 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       gondolinlf-ht_harris_2 gondolinlb-ht_java_2 gondolinlb-ht_optik0_2 gondolinlb-ht_optik1_2 gondolinlb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       15092337     17046833     15680217     15842829     16061634     
2       17054644     16157512     16872700     17933550     17421206     
3       22256798     20116800     22035962     22194138     22242800     
4       24950243     21831506     24035147     25026038     24927478     
5       28545056     24522776     27932708     28501360     28337005     
6       31881410     26634847     30045177     30968584     29695660     
7       34693262     27859288     32429832     33295976     32046047     
8       36685917     25135276     33809924     34490160     33266462     
10      23445796     2264366      2379845      2503159      2304816      
12      22806684     1566217      1492246      1387560      1520987      
