### params -i64 -r128 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_coupling_2 lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       9095897      2366571      6723794      8918769      8325141      9407179      
2       15381843     366309       12005631     9798671      14259238     15239097     
4       13613546     470364       13355086     7482570      13903810     12850841     
6       13948594     621236       14888494     7168073      16263844     14017619     
8       15304651     743225       16273050     7029130      15687777     14211608     
10      16176712     810130       17502056     6813239      17558880     15394794     
12      17334818     828418       19826911     7120623      19753715     17129508     
14      17742275     746882       20252525     7360581      19930718     18136702     
16      17744534     571999       22359300     7121774      20772890     18774646     
18      17467424     438638       23696235     7487152      22370211     19800141     
20      17144564     525607       24398233     7645836      23695816     20127103     
22      16584023     617510       25193168     7942270      24142506     20430080     
24      16364163     535779       24970265     7978544      24720758     20688364     
26      16087894     533512       25845955     8163573      25460706     20819071     
28      15855284     508478       27002112     8075580      25815988     20919386     
30      15726356     483780       26893814     8152322      27014641     20763326     
32      15487486     459090       27709634     8310157      27291931     20623616     
34      15247495     440040       28338606     8436252      28042348     20288076     
36      15033361     411344       28854516     8465543      28629371     20086851     
38      14860558     394218       29610950     8580094      29280165     19915195     
40      14735891     381500       30346902     8723038      30188543     19640030     
44      10019208     101556       29880224     8251438      25558319     14213333     
48      6431413      52451        29449155     8142081      24303039     10073964     
52      4662747      38425        28817003     8126352      22753200     6578581      
56      3117066      28712        29535134     7948686      21844540     4559413      
60      2443760      26042        29373366     7953150      22015890     2924468      
